ReporterISO3,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeValue in 1000 USD
FRA,France,MEX,Mexico,2000,Export,1230524.504
FRA,France,RUS,Russian Federation,2000,Export,1613528.932
FRA,France,SAU,Saudi Arabia,2000,Export,1311331.482
FRA,France,TUR,Turkey,2000,Export,3377856.226
FRA,France,USA,United States,2000,Export,25936986.904
FRA,France,ZAF,South Africa,2000,Export,1056103.3
GBR,United Kingdom,ARG,Argentina,2000,Export,433426.798
GBR,United Kingdom,AUS,Australia,2000,Export,4116781.417
GBR,United Kingdom,BRA,Brazil,2000,Export,1174231.249
GBR,United Kingdom,CAN,Canada,2000,Export,5315552.852
GBR,United Kingdom,CHN,China,2000,Export,2223831.667
GBR,United Kingdom,DEU,Germany,2000,Export,34788506.146
GBR,United Kingdom,FRA,France,2000,Export,28475980.395
GBR,United Kingdom,IDN,Indonesia,2000,Export,630570.583
GBR,United Kingdom,IND,India,2000,Export,3798594.205
GBR,United Kingdom,ITA,Italy,2000,Export,13212226.161
GBR,United Kingdom,JPN,Japan,2000,Export,5686266.373
GBR,United Kingdom,KOR,"Korea, Rep.",2000,Export,2585366.289
GBR,United Kingdom,MEX,Mexico,2000,Export,1021742.956
GBR,United Kingdom,RUS,Russian Federation,2000,Export,1012813.802
GBR,United Kingdom,SAU,Saudi Arabia,2000,Export,2615224.241
GBR,United Kingdom,TUR,Turkey,2000,Export,2942043.14
GBR,United Kingdom,USA,United States,2000,Export,45460636.176
GBR,United Kingdom,ZAF,South Africa,2000,Export,2291405.266
IDN,Indonesia,ARG,Argentina,2000,Export,76986.576
IDN,Indonesia,AUS,Australia,2000,Export,1519365.939
IDN,Indonesia,BRA,Brazil,2000,Export,241034.338
IDN,Indonesia,CAN,Canada,2000,Export,403912.922
IDN,Indonesia,CHN,China,2000,Export,2767707.562
IDN,Indonesia,DEU,Germany,2000,Export,1443127.393
IDN,Indonesia,EUN,European Union,2000,Export,10623162.353
IDN,Indonesia,FRA,France,2000,Export,729598.591
IDN,Indonesia,GBR,United Kingdom,2000,Export,1507940.699
IDN,Indonesia,IND,India,2000,Export,1151282.289
IDN,Indonesia,ITA,Italy,2000,Export,757788.222
IDN,Indonesia,JPN,Japan,2000,Export,14415189.665
IDN,Indonesia,KOR,"Korea, Rep.",2000,Export,4317875.235
IDN,Indonesia,MEX,Mexico,2000,Export,243994.267
IDN,Indonesia,RUS,Russian Federation,2000,Export,58256.707
IDN,Indonesia,SAU,Saudi Arabia,2000,Export,505441.6
IDN,Indonesia,TUR,Turkey,2000,Export,198577.079
IDN,Indonesia,USA,United States,2000,Export,8488730.739
IDN,Indonesia,ZAF,South Africa,2000,Export,176623.12
IND,India,ARG,Argentina,2000,Export,88155.377
IND,India,AUS,Australia,2000,Export,397404.568
IND,India,BRA,Brazil,2000,Export,192288.207
IND,India,CAN,Canada,2000,Export,643398.466
IND,India,CHN,China,2000,Export,734887.748
IND,India,DEU,Germany,2000,Export,1821696.472
IND,India,EUN,European Union,2000,Export,11818706.961
IND,India,FRA,France,2000,Export,975662.222
IND,India,GBR,United Kingdom,2000,Export,2207959.366
IND,India,IDN,Indonesia,2000,Export,390370.824
IND,India,ITA,Italy,2000,Export,1266763.017
IND,India,JPN,Japan,2000,Export,1827671.111
IND,India,KOR,"Korea, Rep.",2000,Export,439127.531
IND,India,MEX,Mexico,2000,Export,182898.064
IND,India,RUS,Russian Federation,2000,Export,855661.13
IND,India,SAU,Saudi Arabia,2000,Export,809170.44
IND,India,TUR,Turkey,2000,Export,327103.853
IND,India,USA,United States,2000,Export,9304913.801
IND,India,ZAF,South Africa,2000,Export,307796.236
ITA,Italy,ARG,Argentina,2000,Export,997862.678
ITA,Italy,AUS,Australia,2000,Export,1784531.331
ITA,Italy,BRA,Brazil,2000,Export,2245070.082
ITA,Italy,CAN,Canada,2000,Export,2151893.818
ITA,Italy,CHN,China,2000,Export,2154579.035
ITA,Italy,DEU,Germany,2000,Export,36216997.151
ITA,Italy,FRA,France,2000,Export,30329301.126
ITA,Italy,GBR,United Kingdom,2000,Export,16516365.317
ITA,Italy,IDN,Indonesia,2000,Export,395900.765
ITA,Italy,IND,India,2000,Export,913653.964
